,MCPP,MCPP_POPULATION,MCPP_ACRES_LAND,MCPP_MEDIAN_AGE,MCPP_PCT_OCCUPIED_HOUSING,MCPP_PCT_BACHELOR,MCPP_MEDIAN_GROSS_RENT,MCPP_PCT_UNEMPLOYED,MCPP_MEDIAN_HH_INCOME,MCPP_PCT_POVERTY
48,ROOSEVELT/RAVENNA,28901.0,2044.08,34.2,56.06,70.2,1085.9,6.39,72006.85,15.83
49,ROXHILL/WESTWOOD/ARBOR HEIGHTS,12717.0,1199.92,37.69,61.74,40.74,1030.5,8.04,68112.5,13.0
50,SANDPOINT,35094.0,3743.65,37.49,64.98,69.31,1083.59,5.77,77113.94,13.52
51,SLU/CASCADE,8235.0,554.75,36.56,21.1,60.48,963.91,6.86,48959.91,17.1
52,SODO,1080.0,1260.32,51.6,56.2,41.1,957.0,7.4,54158.0,18.6
53,SOUTH BEACON HILL,7306.0,848.1,35.65,61.75,27.28,958.75,10.38,51456.75,18.38
54,SOUTH DELRIDGE,1075.0,81.64,34.3,54.9,30.8,917.0,6.8,58191.0,13.25
55,SOUTH PARK,4378.0,726.3,35.87,63.1,25.7,1138.33,7.4,58664.0,9.67
56,UNIVERSITY,23510.0,1139.29,29.27,38.78,72.32,1135.18,8.15,62985.27,30.27
57,WALLINGFORD,15785.0,902.37,34.58,45.77,71.02,1104.4,5.54,71316.1,13.37
